Tacgia,Link,Namsinh,Quote
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,"December 16, 1775","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879",“Try not to become a man of success. Rather become a man of value.”
André Gide,http://quotes.toscrape.com/author/Andre-Gide,"November 22, 1869",“It is better to be hated for what you are than to be loved for what you are not.”
Thomas A. Edison,http://quotes.toscrape.com/author/Thomas-A-Edison,"February 11, 1847","“I have not failed. I've just found 10,000 ways that won't work.”"
Eleanor Roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,"October 11, 1884",“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
Steve Martin,http://quotes.toscrape.com/author/Steve-Martin,"August 14, 1945","“A day without sunshine is like, you know, night.”"
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879",“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,"July 31, 1965","“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879",“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,"December 16, 1775","“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,"June 01, 1926","“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,"March 14, 1879",“Try not to become a man of success. Rather become a man of value.”
