Year,GDP,Unemployment rate
1980,27.847,7.46
1981,13.875,7.91
1982,18.405,7.76
1983,27.726,7.46
1984,48.177,6.8
1985,14.999,7.87
1986,33.873,7.26
1987,42.045,7.0
1988,23.234,7.61
1989,6.293,8.16
1990,6.472,12.3
1991,7.642,10.4
1992,9.867,11.0
1993,13.181,10.6
1994,16.312,10.3
1995,20.798,5.8
1996,24.692,5.9
1997,26.892,6.0
1998,27.234,6.9
1999,28.702,6.7
2000,31.176,6.4
2001,32.524,6.3
2002,35.097,6.0
2003,39.563,5.8
2004,49.52,5.6
2005,57.648,5.3
2006,66.393,4.8
2007,77.52,4.6
2008,98.269,4.7
2009,101.634,4.6
2010,112.771,4.3
2011,134.598,4.5
2012,155.483,2.7
2013,170.444,2.8
2014,185.759,2.1
2015,191.288,2.3
2016,201.326,2.3
2017,220.376,2.2
2018,241.272,2.2
